video,prompt_id,prompt_name,prompt_difficulty,fps,steps,cfg,seed,latency,clip_score,clip_consistency,warp_error
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.2,45,26.93173599243164,0.2925148904323578,0.9716747999191284,132.38157699374432
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.3,43,28.166903495788574,0.28920847177505493,0.969220757484436,134.50751392370253
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.3,44,28.325807094573975,0.28627026081085205,0.9738304018974304,136.57083244702804
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.3,45,28.174264669418335,0.29775065183639526,0.969984769821167,131.58064361667502
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.5,43,30.36167621612549,0.29023104906082153,0.9667417407035828,134.21033534026697
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.5,44,30.054606199264526,0.2913941740989685,0.9738161563873291,135.71233469072533
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.5,45,30.302054166793823,0.30296388268470764,0.970061182975769,131.1990387623358
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.8,43,33.89832067489624,0.2918895483016968,0.9690937399864197,133.8304759566564
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.8,44,34.05358839035034,0.2947409749031067,0.9747743606567383,135.4241229938029
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,0.8,45,33.882558822631836,0.3079724609851837,0.9701379537582397,130.9893692907392
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,1.0,43,36.4365074634552,0.29376766085624695,0.9652227759361267,133.58159189706518
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,1.0,44,36.733349323272705,0.29555070400238037,0.9718484878540039,135.47268656614727
scene_008_left-forward,2,Weather: Rainy,Easy,8,30,1.0,45,36.39090442657471,0.3078889548778534,0.9710847735404968,130.64488141950724
scene_008_left-forward,2,Weather: Rainy,Easy,2,30,1.0,43,9.066861629486084,0.29548123478889465,0.9491623640060425,131.84010760664646
scene_008_left-forward,2,Weather: Rainy,Easy,2,30,1.0,44,8.940043926239014,0.3030910789966583,0.93290776014328,132.06922479273462
scene_008_left-forward,2,Weather: Rainy,Easy,2,30,1.0,45,9.116779088973999,0.306081622838974,0.9270790815353394,133.25931663541766
scene_008_left-forward,2,Weather: Rainy,Easy,3,30,1.0,43,14.620612382888794,0.3014896810054779,0.9403789639472961,130.13558560051385
scene_008_left-forward,2,Weather: Rainy,Easy,3,30,1.0,44,14.718396186828613,0.3070172071456909,0.9625139236450195,137.6165978871436
scene_008_left-forward,2,Weather: Rainy,Easy,3,30,1.0,45,14.595150232315063,0.31780362129211426,0.9466082453727722,133.1211354096296
scene_008_left-forward,2,Weather: Rainy,Easy,4,30,1.0,43,17.058276414871216,0.2991405129432678,0.9559516906738281,132.44311983793352
scene_008_left-forward,2,Weather: Rainy,Easy,4,30,1.0,44,17.102628469467163,0.30314403772354126,0.951053261756897,135.49511253414963
scene_008_left-forward,2,Weather: Rainy,Easy,4,30,1.0,45,17.078553676605225,0.3172835409641266,0.9474424123764038,133.58009281107454
scene_008_left-forward,2,Weather: Rainy,Easy,5,30,1.0,43,23.1071195602417,0.31287726759910583,0.9576124548912048,132.19647698534118
